date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:10:50	327/327	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Jan%202018%2017:40:49%20GMT	http://www.aurganon.com/robots.txt		(from )
23:10:51	36132/36132	---M-Z	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202018%2017:40:49%20GMT	http://www.aurganon.com/	d:/My%20Web%20Sites/bodhi/www.aurganon.com/index.html	(from )
23:10:52	121185/121185	---M--	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2017:15:10%20GMT	http://www.aurganon.com/css/bootstrap.min.css	d:/My%20Web%20Sites/bodhi/www.aurganon.com/css/bootstrap.min.css	(from http://www.aurganon.com/)
23:10:53	12391/12391	---M--	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2017:15:10%20GMT	http://www.aurganon.com/css/base.css	d:/My%20Web%20Sites/bodhi/www.aurganon.com/css/base.css	(from http://www.aurganon.com/)
23:10:54	36808/36808	---M--	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2017:15:10%20GMT	http://www.aurganon.com/css/main.css	d:/My%20Web%20Sites/bodhi/www.aurganon.com/css/main.css	(from http://www.aurganon.com/)
23:10:55	11671/11671	---M--	200	added ('OK')	text/css	date:Fri,%2025%20Aug%202017%2017:15:10%20GMT	http://www.aurganon.com/css/vendor.css	d:/My%20Web%20Sites/bodhi/www.aurganon.com/css/vendor.css	(from http://www.aurganon.com/)
23:10:56	612/612	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2017:15:10%20GMT	http://www.aurganon.com/js/scrolling-nav.js	d:/My%20Web%20Sites/bodhi/www.aurganon.com/js/scrolling-nav.js	(from http://www.aurganon.com/)
23:10:56	5564/5564	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2017:15:10%20GMT	http://www.aurganon.com/js/jquery.easing.min.js	d:/My%20Web%20Sites/bodhi/www.aurganon.com/js/jquery.easing.min.js	(from http://www.aurganon.com/)
23:10:57	7761/7761	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2017:15:10%20GMT	http://www.aurganon.com/js/modernizr.js	d:/My%20Web%20Sites/bodhi/www.aurganon.com/js/modernizr.js	(from http://www.aurganon.com/)
23:11:02	37045/37045	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2017:15:10%20GMT	http://www.aurganon.com/js/bootstrap.min.js	d:/My%20Web%20Sites/bodhi/www.aurganon.com/js/bootstrap.min.js	(from http://www.aurganon.com/)
23:11:02	23364/23364	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Aug%202017%2017:15:10%20GMT	http://www.aurganon.com/js/particles.min.js	d:/My%20Web%20Sites/bodhi/www.aurganon.com/js/particles.min.js	(from http://www.aurganon.com/)
23:11:02	68440/68440	---MC-	200	added ('OK')	text/javascript	date:Wed,%2024%20Jan%202018%2017:40:50%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	d:/My%20Web%20Sites/bodhi/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://www.aurganon.com/)
